Question,Answer,Hint
Hello!,Hallo!,hâ-loh! (informal greeting)
Good day!,Guten Tag!,gooh-ten tahk!
Good evening!,Guten Abend!,gooh-ten ah-bent!
Good-bye!,Auf Wiedersehen!,ouf vee-der-zey-en!
Please./You’re welcome.,Bitte.,bi-te.
Thank you.,Danke.,dân-ke.
Excuse me.,Entschuldigung.,ênt-shool-dee-goong.
My name is….,Ich heiße….,iH hays-e….
Pleased to meet you.,Freut mich.,froyt miH.
Do you speak English?,Sprechen Sie Englisch?,shprêH-en zee êng-lish?
How are you?,Wie geht es Ihnen?,vee geyt ês een-en?
Would you help me please?,Würden Sie mir bitte helfen?,"vuer-den zee meer bi-te
hêl-fen?"
What’s your name?,Wie heißen Sie?,vee hays-en zee?
What time is it?,Wie viel Uhr ist es?,vee feel oohr ist ês?
What’s the weather like?,Wie ist das Wetter?,ee ist dâs vêt-er?
How much does . . . cost?,Wie viel kostet . . .?,vee feel kos-tet…?
Where do I find . . .?,Wo finde ich . . .?,voh fin-de iH…?
Where are the bathrooms?,Wo sind die Toiletten?,voh zint dee toy-lêt-en?
Do you have…?,Haben Sie…?,hah-ben zee…?
Where is…?,Wo ist…?,voh ist…?
Could you please talk more slowly?,Können Sie bitte langsamer sprechen?,"kern-en zee bi-te lâng-zâm-er
shprêH-en?"
"Could you repeat that, please?",Können Sie das bitte wiederholen?,"kern-en zee dâs bi-te
vee-der-hoh-len?"
"The menu, please.",Die Speisekarte bitte.,dee shpay-ze kâr-te bi-te.
I’d like….,Ich hätte gern….,iH hê-te gern….
I’d like….,Ich möchte gern….,iH merH-te gern….
Could you recommend something?,Könnten Sie etwas empfehlen?,"kern-ten zee êt-vas
êm-pfey-len?"
Another (beer) please.,Noch (ein Bier) bitte.,noH [ayn beer] bi-te.
"The check, please.",Die Rechnung bitte.,dee rêH-noong bi-te.
Enjoy your meal.,Guten Appetit.,gooh-ten âp-e-teet.
I am sick.,Ich bin krank.,iH bin krânk.
