"Question","Answer","Hint"
"Hello!","Bonjour!","bohN-zhoohr!"
"Good evening!","Bonsoir!","bohN-swahr!"
"Good-bye!","Au revoir!","ohr-vwahr!"
"Thank you.","Merci.","mehr-see."
"You’re welcome.","Je vous en prie./De rien. ","zhuh vooh-zahN pree./duh ryahN."
"Excuse me.","Pardon./Excusez-moi.","pahr-dohN./eks-kew-zey-mwah."
"Please.","S’il vous plaît.","seel vooh pleh."
"My name is...","Je m’appelle...","zhuh mah-pehl..."
"Pleased to meet you.","Enchanté./Enchantée.","ahN-shahN-tey."
"Do you speak English?","Est-ce que vous parlez anglais?","ehs-kuh vooh pahr-ley ahN-gleh?"
"Could you please speak more slowly?","Pourriez-vous parler plus lentement, s’il vous
plaît? ","pooh-ree-ey-vooh pahr-ley plew lahNt-mahN, seel vooh pleh?"
"Could you repeat that, please?","Pourriez-vous répéter, s’il vous
plaît? ","pooh-ree-ey-vooh rey-pey-tey, seel vooh pleh?"
"How are you?","Comment allez-vous?","koh-mahN-tah-ley-vooh?"
"Would you help me please?","Pourriez-vous m’aider?","pooh-ree-ey vooh mey-dey?"
"What’s your name?","Comment vous appelez-vous?","koh-mahN vooh-zah-pley-vooh?"
"What time is it?","Quelle heure est-il?","kehl uhr eh-teel?"
"What’s the weather like?","Quel temps fait-il?","kehl tahN feh-teel?"
"How much does . . . cost?","Combien coûte…?","kohN-byaN kooht... ?"
"Where can I find . . .?","Où est-ce que je peux trouver. . .?","ooh ehs-kuh zhuh puh trooh-vey…?"
"Where are the bathrooms?","Où sont les toilettes?","ooh sohN ley twah-leht?"
"Do you have... ?","Avez-vous… ?","ah-vey vooh... ?"
"Where is... ?","Où est…?","ooh eh… ?"
"The menu, please.","Le menu, s’il vous plaît.","luh muh-new, seel vooh pleh."
"I’d like...","Je voudrais...","zhuh vooh-dreh..."
"What do you recommend/suggest?","Qu’est-ce que vous recommandez/suggérez?","kehs-kuh vooh ruh-kohh-mahN-dey/sooh-zhey-rey?"
"Another (beer) please.","Encore (une bière), s’il vous plaît.
plaît.","ahN-kohr (ewn byehr), seel vooh pleh."
"The check, please.","L’addition, s’il vous plaît. ","lah-dee-syohN, seel vooh pleh."
"A receipt, please.","Un reçu, s’il vous plaît.","uhN ruh-sew, seel vooh pleh."
"Enjoy your meal.","Bon appétit! ","bohN-nah-pey-tee!"
"I am sick.","Je suis malade.","zhuh swee mah-lahd."
